	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
common:TSS103241_+_37509400.23-ENST00000413915	3302	3508	608	6199
common:TSS103241_+_37509421.23-ENST00000413915	3360	3712	315	5999
common:TSS103241_+_37509427.23-ENST00000413915	1938	1857	381	2777
common:TSS103241_-_37509151.23-ENST00000413915	6380	7325	892	12730
common:TSS103241_-_37509167.23-ENST00000413915	4048	4145	478	6635
common:TSS103241_-_37509414.23-ENST00000413915	4113	3351	641	5373
common:TSS1033_+_38326451.23-ENST00000419993	3484	3157	458	4093
common:TSS1033_+_38326460.23-ENST00000419993	5178	5509	590	9434
common:TSS1033_+_38326818.23-ENST00000419993	3806	3726	487	7263
common:TSS1033_-_38326410.23-ENST00000419993	5507	5553	826	8654
common:TSS1033_-_38326417.23-ENST00000419993	5425	5658	922	8888
common:TSS1033_-_38326437.23-ENST00000419993	7374	8011	1070	16074
common:TSS1033_-_38326449.23-ENST00000419993	4401	4972	730	5875
common:TSS1033_-_38326560.23-ENST00000419993	6212	6103	945	8227
common:TSS1033_-_38326567.23-ENST00000419993	4306	4459	794	8263
common:TSS1033_-_38326836.23-ENST00000419993	5931	6255	696	10572
common:TSS103516_+_74970998.23-CUFF.49740.1	2006	2050	237	3109
common:TSS103516_+_74971015.23-CUFF.49740.1	3142	2849	427	3049
common:TSS103516_+_74971076.23-CUFF.49740.1	6188	6982	880	13673
common:TSS103516_+_74971147.23-CUFF.49740.1	3777	4522	606	8289
common:TSS103516_+_74971222.23-CUFF.49740.1	7665	7346	1101	10231
common:TSS103516_+_74971358.23-CUFF.49740.1	4005	4470	574	7485
common:TSS103516_-_74971056.23-CUFF.49740.1	7425	7478	906	10033
common:TSS103516_-_74971096.23-CUFF.49740.1	4825	3928	650	5698
common:TSS103516_-_74971209.23-CUFF.49740.1	5068	4461	856	7297
common:TSS103516_-_74971293.23-CUFF.49740.1	4852	4448	472	8113
common:TSS103570_+_79185557.23-CUFF.49847.1	7784	7777	1126	11957
common:TSS103570_+_79185560.23-CUFF.49847.1	4642	4263	717	7856
common:TSS103570_+_79185566.23-CUFF.49847.1	8248	8301	1209	10295
common:TSS103570_+_79185648.23-CUFF.49847.1	5818	4958	645	7413
common:TSS103570_+_79185968.23-CUFF.49847.1	9064	8496	1130	11682
common:TSS103570_+_79186002.23-CUFF.49847.1	4319	4146	554	7078
common:TSS103570_+_79186007.23-CUFF.49847.1	2990	3294	360	5569
common:TSS103570_-_79185805.23-CUFF.49847.1	4999	5077	701	10562
common:TSS103570_-_79185826.23-CUFF.49847.1	3262	3641	502	7508
common:TSS103570_-_79186060.23-CUFF.49847.1	4350	3877	578	3761
common:TSS103723_+_88897129.23-P1P2	4363	4095	567	8063
common:TSS103723_+_88897176.23-P1P2	4999	5921	859	9237
common:TSS103723_+_88897192.23-P1P2	6951	7467	985	12761
common:TSS103723_+_88897206.23-P1P2	5560	5209	884	9398
common:TSS103723_+_88897221.23-P1P2	2389	2301	435	3497
common:TSS103723_-_88897132.23-P1P2	6566	5688	965	7810
common:TSS103723_-_88897135.23-P1P2	3918	3639	625	6125
common:TSS103723_-_88897141.23-P1P2	5872	5692	869	8811
common:TSS103723_-_88897168.23-P1P2	4835	5301	528	7918
common:TSS103723_-_88897181.23-P1P2	2995	2716	439	3003
common:TSS10375_+_32635402.23-P1P2	5857	6212	1003	9891
common:TSS10375_+_32635424.23-P1P2	5664	5954	811	10400
common:TSS10375_+_32635432.23-P1P2	2558	2775	296	5841
common:TSS10375_+_32635441.23-P1P2	3847	3894	581	8780
common:TSS10375_-_32635479.23-P1P2	4381	4186	543	5464
common:TSS10375_-_32635486.23-P1P2	3048	3482	355	6142
common:TSS10375_-_32635578.23-P1P2	2262	2312	415	4455
common:TSS10375_-_32635581.23-P1P2	3341	3402	514	5539
common:TSS10375_-_32635595.23-P1P2	5950	5818	933	11126
common:TSS10375_-_32635665.23-P1P2	3766	4310	480	9960
common:TSS103965_+_97075835.23-CUFF.50138.1,CUFF.50138.2	3122	3688	501	8091
common:TSS103965_-_97075886.23-CUFF.50138.1,CUFF.50138.2	3662	3665	399	6706
common:TSS103965_-_97075940.23-CUFF.50138.1,CUFF.50138.2	9080	8721	1186	16803
common:TSS103965_-_97076054.23-CUFF.50138.1,CUFF.50138.2	5230	5623	785	9299
common:TSS103965_-_97076063.23-CUFF.50138.1,CUFF.50138.2	6134	6061	727	8978
common:TSS103965_-_97076069.23-CUFF.50138.1,CUFF.50138.2	5442	5357	817	9316
common:TSS103965_-_97076080.23-CUFF.50138.1,CUFF.50138.2	6814	6965	1016	8873
common:TSS103965_-_97076084.23-CUFF.50138.1,CUFF.50138.2	3289	3103	463	6645
common:TSS103965_-_97076087.23-CUFF.50138.1,CUFF.50138.2	5321	6121	792	11494
common:TSS103965_-_97076114.23-CUFF.50138.1,CUFF.50138.2	6514	6418	1072	12253
common:TSS104035_+_99264751.23-P1P2	5225	5086	760	7897
common:TSS104035_+_99264949.23-P1P2	2974	2892	445	4594
common:TSS104035_+_99264998.23-P1P2	2644	2571	564	4927
common:TSS104035_+_99265055.23-P1P2	885	810	108	1301
common:TSS104035_-_99264788.23-P1P2	1867	1522	149	2228
common:TSS104035_-_99264930.23-P1P2	9033	9433	1580	12883
common:TSS104035_-_99264964.23-P1P2	4967	4584	589	5803
common:TSS104035_-_99265009.23-P1P2	6590	6620	1093	10736
common:TSS104035_-_99265066.23-P1P2	5365	5534	800	9369
common:TSS104035_-_99265088.23-P1P2	2478	2763	304	4846
common:TSS104096_+_101555700.23-CUFF.50266.1	3278	3620	494	5435
common:TSS104096_+_101555704.23-CUFF.50266.1	7682	7872	1023	11280
common:TSS104096_+_101555952.23-CUFF.50266.1	4334	4019	546	7040
common:TSS104096_+_101556107.23-CUFF.50266.1	8621	8455	875	12568
common:TSS104096_+_101556112.23-CUFF.50266.1	7532	7306	1442	12488
common:TSS104096_-_101555710.23-CUFF.50266.1	7874	8457	1095	10415
common:TSS104096_-_101555720.23-CUFF.50266.1	3916	3538	489	4850
common:TSS104096_-_101555788.23-CUFF.50266.1	3936	3911	544	7459
common:TSS104096_-_101556162.23-CUFF.50266.1	4862	4558	776	6718
common:TSS104096_-_101556165.23-CUFF.50266.1	6774	6807	862	7787
common:TSS104121_+_103115381.23-P1P2	7425	7476	1009	9750
common:TSS104121_+_103115411.23-P1P2	2401	2014	360	3373
common:TSS104121_+_103115478.23-P1P2	4856	4851	619	7955
common:TSS104121_-_103115320.23-P1P2	1700	1742	255	1961
common:TSS104121_-_103115335.23-P1P2	3652	3803	551	4779
common:TSS104121_-_103115364.23-P1P2	1605	1656	345	3053
common:TSS104121_-_103115396.23-P1P2	3718	3445	661	6201
common:TSS104121_-_103115409.23-P1P2	6323	6815	976	9339
common:TSS104121_-_103115425.23-P1P2	3419	3708	499	6219
common:TSS104121_-_103115440.23-P1P2	5001	4877	617	7362
common:TSS104458_+_123555818.23-P1P2	3828	3365	327	6528
common:TSS104458_+_123555845.23-P1P2	2729	2621	472	3628
common:TSS104458_+_123555887.23-P1P2	2619	2980	295	5862
common:TSS104458_+_123555896.23-P1P2	3555	3661	516	6591
common:TSS104458_-_123555800.23-P1P2	4898	4811	810	6479
common:TSS104458_-_123555821.23-P1P2	3682	3832	449	7036
common:TSS104458_-_123555861.23-P1P2	2623	2227	259	3678
common:TSS104458_-_123555865.23-P1P2	2378	2503	340	2357
common:TSS104458_-_123555881.23-P1P2	4009	4214	731	7510
common:TSS104458_-_123555884.23-P1P2	4904	5301	393	7956
common:TSS104488_+_125086933.23-ENST00000602625	3228	3355	470	6783
common:TSS104488_+_125087051.23-ENST00000602625	4126	3985	615	6940
common:TSS104488_+_125087153.23-ENST00000602625	2700	2655	450	4325
common:TSS104488_+_125087159.23-ENST00000602625	5659	6038	743	9817
common:TSS104488_+_125087236.23-ENST00000602625	6335	6240	810	8381
common:TSS104488_-_125086930.23-ENST00000602625	4957	4926	737	7998
common:TSS104488_-_125086945.23-ENST00000602625	6946	6870	766	12367
common:TSS104488_-_125087041.23-ENST00000602625	3997	3350	316	6113
common:TSS104488_-_125087085.23-ENST00000602625	5420	5337	668	7510
common:TSS104488_-_125087265.23-ENST00000602625	6938	8018	880	12375
common:TSS104496_+_125577870.23-CUFF.50652.1	4360	4236	644	5183
common:TSS104496_+_125577886.23-CUFF.50652.1	3565	3587	282	6181
common:TSS104496_+_125577891.23-CUFF.50652.1	5478	4889	514	7179
common:TSS104496_+_125577948.23-CUFF.50652.1	8181	7999	1200	11648
common:TSS104496_+_125577987.23-CUFF.50652.1	4346	4161	687	7962
common:TSS104496_+_125578178.23-CUFF.50652.1	4807	5089	664	10293
common:TSS104496_+_125578200.23-CUFF.50652.1	5834	5673	713	10915
common:TSS104496_+_125578213.23-CUFF.50652.1	6384	5748	961	9112
common:TSS104496_-_125577839.23-CUFF.50652.1	4325	5143	542	8086
common:TSS104496_-_125578057.23-CUFF.50652.1	1199	1547	88	2389
common:TSS104517_+_127119228.23-P1P2	6437	6063	1168	10032
common:TSS104517_+_127119252.23-P1P2	4931	5301	620	6181
common:TSS104517_+_127119265.23-P1P2	7321	7581	1028	10933
common:TSS104517_+_127119284.23-P1P2	4444	4648	661	7260
common:TSS104517_+_127119405.23-P1P2	5921	5238	850	8012
common:TSS104517_-_127119212.23-P1P2	1251	820	250	1383
common:TSS104517_-_127119238.23-P1P2	8575	9325	1503	14136
common:TSS104517_-_127119299.23-P1P2	3130	3445	609	5918
common:TSS104517_-_127119446.23-P1P2	4295	4508	735	7057
common:TSS104517_-_127119464.23-P1P2	7181	7132	949	10095
common:TSS104601_+_131153743.23-ENST00000609303	2392	2689	246	3989
common:TSS104601_+_131153747.23-ENST00000609303	4756	4578	433	8653
common:TSS104601_+_131153759.23-ENST00000609303	4918	5780	765	9957
common:TSS104601_+_131153775.23-ENST00000609303	1190	1275	125	1353
common:TSS104601_+_131153813.23-ENST00000609303	4624	4588	552	7145
common:TSS104601_+_131153840.23-ENST00000609303	4069	4441	542	7059
common:TSS104601_+_131153845.23-ENST00000609303	2111	2723	270	3715
common:TSS104601_-_131153804.23-ENST00000609303	6761	5703	993	10053
common:TSS104601_-_131153978.23-ENST00000609303	3475	3900	601	6233
common:TSS104601_-_131154109.23-ENST00000609303	3601	4161	547	5155
common:TSS104606_+_131486833.23-P1P2	6803	7808	1097	10454
common:TSS104606_+_131487105.23-P1P2	5885	5848	741	10211
common:TSS104606_+_131487146.23-P1P2	4084	5010	555	5489
common:TSS104606_-_131486735.23-P1P2	940	712	163	937
common:TSS104606_-_131486754.23-P1P2	6864	6494	1036	11116
common:TSS104606_-_131486771.23-P1P2	6045	6112	837	8345
common:TSS104606_-_131486774.23-P1P2	6576	6015	740	9489
common:TSS104606_-_131486911.23-P1P2	5144	5891	746	9009
common:TSS104606_-_131486954.23-P1P2	4371	4447	534	8151
common:TSS104606_-_131487159.23-P1P2	3177	3803	477	5560
common:TSS104777_+_136890564.23-P1P2	3423	2786	551	3985
common:TSS104777_+_136890593.23-P1P2	2340	2625	216	3874
common:TSS104777_+_136890609.23-P1P2	5543	5459	793	6919
common:TSS104777_+_136890630.23-P1P2	3805	4013	546	7261
common:TSS104777_-_136890658.23-P1P2	1043	876	257	1492
common:TSS104777_-_136890667.23-P1P2	2237	2282	248	2536
common:TSS104777_-_136890680.23-P1P2	4358	4606	620	7029
common:TSS104777_-_136890711.23-P1P2	6629	6420	836	8158
common:TSS104777_-_136890793.23-P1P2	2758	3464	434	5101
common:TSS104777_-_136890868.23-P1P2	7277	7097	1058	10916
common:TSS105096_+_4679042.23-ENST00000609131,ENST00000607997	5256	4803	873	9167
common:TSS105096_+_4679223.23-ENST00000609131,ENST00000607997	7090	6862	944	12210
common:TSS105096_+_4679307.23-ENST00000609131,ENST00000607997	3218	2883	476	4585
common:TSS105096_+_4679401.23-ENST00000609131,ENST00000607997	3579	3181	423	6713
common:TSS105096_+_4679404.23-ENST00000609131,ENST00000607997	4964	4940	767	11767
common:TSS105096_+_4679487.23-ENST00000609131,ENST00000607997	3479	3502	563	3626
common:TSS105096_-_4679327.23-ENST00000609131,ENST00000607997	5466	5577	623	8006
common:TSS105096_-_4679459.23-ENST00000609131,ENST00000607997	3949	4107	722	7951
common:TSS105096_-_4679471.23-ENST00000609131,ENST00000607997	5309	5682	689	10891
common:TSS105096_-_4679506.23-ENST00000609131,ENST00000607997	6884	6679	1331	9657
common:TSS10533_+_43008540.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	6571	6213	969	12409
common:TSS10533_+_43008572.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	6433	7080	984	10597
common:TSS10533_+_43008761.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	5242	5625	691	7098
common:TSS10533_+_43008834.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	6330	6317	986	8001
common:TSS10533_+_43008916.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	4519	4282	577	7856
common:TSS10533_-_43008660.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	6208	6362	684	9400
common:TSS10533_-_43008734.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	4445	5082	704	6588
common:TSS10533_-_43008770.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	4644	3840	660	6878
common:TSS10533_-_43008781.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	4179	4396	476	6547
common:TSS10533_-_43008984.23-CUFF.5456.1,CUFF.5456.2,CUFF.5456.3	3608	4133	422	5346
common:TSS105513_+_35657767.23-P1P2	2207	2082	190	2882
common:TSS105513_+_35657798.23-P1P2	1673	1763	163	2541
common:TSS105513_+_35657926.23-P1P2	2933	3154	437	4018
common:TSS105513_+_35657945.23-P1P2	6665	6357	809	9702
common:TSS105513_+_35658013.23-P1P2	2345	1870	315	2929
common:TSS105513_-_35657776.23-P1P2	3203	3742	374	7545
common:TSS105513_-_35657780.23-P1P2	5938	6203	778	7861
common:TSS105513_-_35657813.23-P1P2	4322	4357	511	4422
common:TSS105513_-_35657960.23-P1P2	5466	5997	661	9831
common:TSS105513_-_35657999.23-P1P2	4442	5162	940	7304
common:TSS105514_-_35757483.23-ENST00000425499	6717	6431	1122	11452
common:TSS105514_-_35757487.23-ENST00000425499	3222	3143	473	3946
common:TSS105514_-_35757506.23-ENST00000425499	6406	6108	743	9532
common:TSS105514_-_35757552.23-ENST00000425499	5382	5038	858	11843
common:TSS105514_-_35757561.23-ENST00000425499	4830	4616	592	8460
common:TSS105514_-_35757565.23-ENST00000425499	3974	3436	588	6195
common:TSS105514_-_35757585.23-ENST00000425499	3406	3209	474	4225
common:TSS105514_-_35757634.23-ENST00000425499	6336	6749	657	9306
common:TSS105514_-_35757653.23-ENST00000425499	4714	4515	560	9777
common:TSS105514_-_35757829.23-ENST00000425499	1267	1456	336	2076
common:TSS105560_+_37504275.23-CUFF.49443.1	5788	5755	827	9784
common:TSS105560_+_37504302.23-CUFF.49443.1	6878	6303	759	15410
common:TSS105560_+_37504470.23-CUFF.49443.1	2645	3302	306	5384
common:TSS105560_+_37504480.23-CUFF.49443.1	5361	5398	1018	9929
common:TSS105560_-_37504040.23-CUFF.49443.1	4798	4880	599	9123
common:TSS105560_-_37504085.23-CUFF.49443.1	4406	4389	648	6115
common:TSS105560_-_37504223.23-CUFF.49443.1	8694	8904	1031	12816
common:TSS105560_-_37504239.23-CUFF.49443.1	4279	4511	852	9220
common:TSS105560_-_37504250.23-CUFF.49443.1	4134	4948	700	8991
common:TSS105560_-_37504292.23-CUFF.49443.1	5025	5347	739	7535
common:TSS105562_+_37777607.23-P1P2	2253	2482	278	5997
common:TSS105562_+_37777612.23-P1P2	4624	5366	908	8655
common:TSS105562_+_37777708.23-P1P2	4971	4517	810	5989
common:TSS105562_-_37777657.23-P1P2	6704	7153	848	11684
common:TSS105562_-_37777688.23-P1P2	6417	6173	983	12532
common:TSS105562_-_37777698.23-P1P2	8838	9838	1255	16365
common:TSS105562_-_37777706.23-P1P2	2106	2431	248	4642
common:TSS105562_-_37778050.23-P1P2	3153	2659	609	6160
common:TSS105562_-_37778053.23-P1P2	3939	4319	523	8105
common:TSS105562_-_37778075.23-P1P2	3921	3962	525	5821
common:TSS10574_+_44139374.23-ENST00000453284	6007	5715	981	10839
common:TSS10574_+_44139379.23-ENST00000453284	7908	7843	1124	11935
common:TSS10574_+_44139416.23-ENST00000453284	3987	4246	428	6837
common:TSS10574_+_44139576.23-ENST00000453284	7673	6808	1280	12390
common:TSS10574_+_44139714.23-ENST00000453284	10221	8579	1409	12633
common:TSS10574_+_44139765.23-ENST00000453284	6718	6162	1056	10274
common:TSS10574_+_44139779.23-ENST00000453284	7166	6398	1144	9034
common:TSS10574_-_44139503.23-ENST00000453284	5322	4735	903	9633
common:TSS10574_-_44139555.23-ENST00000453284	4171	4529	597	9054
common:TSS10574_-_44139589.23-ENST00000453284	4754	4988	607	6938
common:TSS106284_+_98780558.23-CUFF.50190.1	4764	5777	507	8170
common:TSS106284_+_98780575.23-CUFF.50190.1	8739	8920	1389	13585
common:TSS106284_+_98780594.23-CUFF.50190.1	4506	3951	644	8083
common:TSS106284_+_98780672.23-CUFF.50190.1	8230	8099	1054	13272
common:TSS106284_-_98780366.23-CUFF.50190.1	4558	4809	617	7813
common:TSS106284_-_98780371.23-CUFF.50190.1	3448	3852	511	8308
common:TSS106284_-_98780393.23-CUFF.50190.1	6416	6186	750	8365
common:TSS106284_-_98780426.23-CUFF.50190.1	6635	6384	675	8983
common:TSS106284_-_98780437.23-CUFF.50190.1	6041	5839	777	9343
common:TSS106284_-_98780441.23-CUFF.50190.1	7098	6737	863	11177
common:TSS106373_+_102691752.23-ENST00000524512	3516	3502	499	4300
common:TSS106373_+_102691762.23-ENST00000524512	7073	6724	1037	11966
common:TSS106373_+_102691765.23-ENST00000524512	3609	3760	521	7883
common:TSS106373_+_102691777.23-ENST00000524512	3401	2614	708	3313
common:TSS106373_+_102691923.23-ENST00000524512	7555	7872	1223	15130
common:TSS106373_+_102691932.23-ENST00000524512	4776	5087	824	13000
common:TSS106373_+_102691944.23-ENST00000524512	6736	7633	1178	10744
common:TSS106373_+_102692088.23-ENST00000524512	3516	3233	471	3360
common:TSS106373_+_102692147.23-ENST00000524512	5661	6227	717	9545
common:TSS106373_-_102691916.23-ENST00000524512	3068	3029	401	4663
common:TSS106664_+_123563559.23-CUFF.50563.1	3952	4480	531	6642
common:TSS106664_+_123563584.23-CUFF.50563.1	3604	3982	525	6206
common:TSS106664_+_123563705.23-CUFF.50563.1	4000	4377	552	7541
common:TSS106664_+_123563798.23-CUFF.50563.1	982	1112	183	1945
common:TSS106664_-_123563579.23-CUFF.50563.1	4293	4486	635	6125
common:TSS106664_-_123563592.23-CUFF.50563.1	6390	7471	1029	10580
common:TSS106664_-_123563602.23-CUFF.50563.1	6381	6172	807	9481
common:TSS106664_-_123563736.23-CUFF.50563.1	6571	7662	945	14005
common:TSS106664_-_123563741.23-CUFF.50563.1	5093	5385	839	8127
common:TSS106664_-_123563807.23-CUFF.50563.1	3513	4298	472	5077
common:TSS106797_+_130473958.23-CUFF.50753.1	761	704	151	1681
common:TSS106797_+_130473961.23-CUFF.50753.1	2348	2686	346	5726
common:TSS106797_+_130473983.23-CUFF.50753.1	907	1148	175	2104
common:TSS106797_+_130474081.23-CUFF.50753.1	6520	6910	860	11541
common:TSS106797_+_130474178.23-CUFF.50753.1	2699	2907	407	3865
common:TSS106797_-_130473764.23-CUFF.50753.1	5930	6516	922	11687
common:TSS106797_-_130473871.23-CUFF.50753.1	4766	4316	708	6886
common:TSS106797_-_130473875.23-CUFF.50753.1	6954	7479	985	10114
common:TSS106797_-_130473912.23-CUFF.50753.1	7666	8044	1052	12280
common:TSS106797_-_130474128.23-CUFF.50753.1	5660	5364	854	10350
common:TSS106805_+_130871304.23-ENST00000602939	4978	6327	669	7992
common:TSS106805_+_130871335.23-ENST00000602939	6438	6838	724	8670
common:TSS106805_+_130871532.23-ENST00000602939	3160	2775	553	5762
common:TSS106805_-_130871221.23-ENST00000602939	6386	6710	975	9951
common:TSS106805_-_130871248.23-ENST00000602939	3851	3960	465	6793
common:TSS106805_-_130871342.23-ENST00000602939	1530	1874	280	2835
common:TSS106805_-_130871529.23-ENST00000602939	9250	9292	1517	16400
common:TSS106805_-_130871552.23-ENST00000602939	5629	5666	815	9175
common:TSS106805_-_130871561.23-ENST00000602939	5081	5895	807	8876
common:TSS106805_-_130871566.23-ENST00000602939	5311	5350	573	9247
common:TSS106814_+_131067330.23-ENST00000608252	5537	5441	685	10621
common:TSS106814_+_131067546.23-ENST00000608252	2389	3024	437	5352
common:TSS106814_+_131067587.23-ENST00000608252	8617	8502	1302	15701
common:TSS106814_+_131067777.23-ENST00000608252	2705	3045	363	5357
common:TSS106814_-_131067409.23-ENST00000608252	1179	1113	238	2723
common:TSS106814_-_131067413.23-ENST00000608252	1375	1594	113	2184
common:TSS106814_-_131067536.23-ENST00000608252	2341	2519	353	4168
common:TSS106814_-_131067564.23-ENST00000608252	3656	3528	613	6755
common:TSS106814_-_131067601.23-ENST00000608252	2731	2954	492	6757
common:TSS106814_-_131067624.23-ENST00000608252	7486	7227	810	12304
common:TSS106815_+_131068220.23-ENST00000608093	4151	4161	463	7420
common:TSS106815_+_131068403.23-ENST00000608093	3347	3086	552	5418
common:TSS106815_+_131068470.23-ENST00000608093	10920	11913	1734	18136
common:TSS106815_+_131068485.23-ENST00000608093	4412	4523	586	8049
common:TSS106815_+_131068582.23-ENST00000608093	5484	5425	882	9702
common:TSS106815_+_131068590.23-ENST00000608093	4641	4711	782	6042
common:TSS106815_+_131068616.23-ENST00000608093	4268	4383	733	7800
common:TSS106815_-_131068387.23-ENST00000608093	4561	4705	766	5618
common:TSS106815_-_131068570.23-ENST00000608093	1538	1360	217	3673
common:TSS106815_-_131068573.23-ENST00000608093	2319	2278	281	4473
common:TSS107055_+_138398034.23-ENST00000415062	4228	4391	710	5871
common:TSS107055_+_138398039.23-ENST00000415062	3960	4296	615	7480
common:TSS107055_+_138398050.23-ENST00000415062	3279	3646	429	5908
common:TSS107055_+_138398237.23-ENST00000415062	2285	3097	429	4979
common:TSS107055_-_138398236.23-ENST00000415062	2481	1853	340	2715
common:TSS107055_-_138398246.23-ENST00000415062	3591	3579	512	7660
common:TSS107055_-_138398253.23-ENST00000415062	7358	8279	1131	16142
common:TSS107055_-_138398294.23-ENST00000415062	4316	3607	353	5469
common:TSS107055_-_138398305.23-ENST00000415062	3988	3998	650	5689
common:TSS107055_-_138398318.23-ENST00000415062	4330	4211	508	6261
common:TSS10705_+_51732538.23-ENST00000429104,ENST00000444438	5207	5631	567	8423
common:TSS10705_+_51732792.23-ENST00000429104,ENST00000444438	8133	7423	1280	10947
common:TSS10705_+_51732826.23-ENST00000429104,ENST00000444438	3119	3103	403	5450
common:TSS10705_+_51732926.23-ENST00000429104,ENST00000444438	5236	5969	816	6372
common:TSS10705_+_51732929.23-ENST00000429104,ENST00000444438	3314	3993	567	6244
common:TSS10705_-_51732591.23-ENST00000429104,ENST00000444438	8614	8855	1242	14802
common:TSS10705_-_51732599.23-ENST00000429104,ENST00000444438	4293	4954	733	10428
common:TSS10705_-_51732788.23-ENST00000429104,ENST00000444438	6421	6460	929	10217
common:TSS10705_-_51732838.23-ENST00000429104,ENST00000444438	125	97	9	219
common:TSS10705_-_51732858.23-ENST00000429104,ENST00000444438	3953	3792	539	6982
common:TSS10706_+_51735965.23-CUFF.5657.3	4004	4348	866	6426
common:TSS10706_+_51735973.23-CUFF.5657.3	3026	3194	516	5228
common:TSS10706_+_51735992.23-CUFF.5657.3	6018	5899	513	8705
common:TSS10706_+_51736014.23-CUFF.5657.3	3612	3791	598	5383
common:TSS10706_+_51736267.23-CUFF.5657.3	9205	8706	1237	11406
common:TSS10706_-_51735952.23-CUFF.5657.3	5879	6417	680	10124
common:TSS10706_-_51735984.23-CUFF.5657.3	2319	2271	210	3265
common:TSS10706_-_51736005.23-CUFF.5657.3	8029	7763	998	12701
common:TSS10706_-_51736022.23-CUFF.5657.3	4691	4770	842	7480
common:TSS10706_-_51736110.23-CUFF.5657.3	6812	7583	1381	11007
common:TSS107127_+_139622293.23-P1P2	7438	7348	1197	15853
common:TSS107127_+_139622428.23-P1P2	3038	3318	436	4440
common:TSS107127_+_139622618.23-P1P2	3378	2863	404	3864
