	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
common:TSS102040_+_125320454.23-ENST00000607837	5145	4945	708	8791
common:TSS102040_+_125320562.23-ENST00000607837	4095	4192	586	8185
common:TSS102040_-_125320172.23-ENST00000607837	4331	4268	773	7965
common:TSS102040_-_125320179.23-ENST00000607837	5578	5764	858	11033
common:TSS102040_-_125320205.23-ENST00000607837	7148	6561	1167	9337
common:TSS102040_-_125320490.23-ENST00000607837	6199	5728	771	9938
common:TSS102040_-_125320560.23-ENST00000607837	6235	7133	1120	11061
common:TSS102040_-_125320569.23-ENST00000607837	7519	7424	916	12491
common:TSS102045_+_125486557.23-P1	3310	2961	348	3650
common:TSS102045_+_125486563.23-P1	3834	4329	608	7292
common:TSS102045_+_125486570.23-P1	5494	4708	573	7843
common:TSS102045_+_125486734.23-P1	3763	3787	632	7253
common:TSS102045_+_125486762.23-P1	5065	5448	790	8031
common:TSS102045_+_125487146.23-P2	1897	2305	267	4614
common:TSS102045_+_125487149.23-P2	5273	6023	693	11540
common:TSS102045_+_125487176.23-P2	2449	2758	525	3154
common:TSS102045_+_125487182.23-P2	1199	1304	159	1628
common:TSS102045_+_125487185.23-P2	3006	2905	332	3759
common:TSS102045_-_125486575.23-P1	5677	5773	963	8090
common:TSS102045_-_125486719.23-P1	5244	5213	677	8076
common:TSS102045_-_125486739.23-P1	6904	6466	957	12080
common:TSS102045_-_125486799.23-P1	3828	3960	350	6556
common:TSS102045_-_125486838.23-P1	4148	4002	537	6656
common:TSS102045_-_125486838.23-P2	4148	4002	537	6656
common:TSS102045_-_125487047.23-P2	4120	3848	435	7344
common:TSS102045_-_125487050.23-P2	3541	3096	539	5009
common:TSS102045_-_125487193.23-P2	3505	3503	399	6385
common:TSS102045_-_125487232.23-P2	6197	5534	740	7676
common:TSS102413_+_141539248.23-P1P2	4667	4646	525	7859
common:TSS102413_+_141539262.23-P1P2	5056	5453	644	8964
common:TSS102413_+_141539281.23-P1P2	7025	6247	1057	7295
common:TSS102413_+_141539328.23-P1P2	6093	5601	698	10019
common:TSS102413_-_141538948.23-P1P2	3228	2411	525	3428
common:TSS102413_-_141539040.23-P1P2	3735	4836	646	7380
common:TSS102413_-_141539115.23-P1P2	4224	4245	725	6810
common:TSS102413_-_141539234.23-P1P2	5923	5587	920	8450
common:TSS102413_-_141539259.23-P1P2	6075	6305	754	9361
common:TSS102413_-_141539325.23-P1P2	5131	4514	709	9540
common:TSS102493_+_143747623.23-ENST00000507178	3754	3922	557	6304
common:TSS102493_+_143747695.23-ENST00000507178	4144	4075	519	5949
common:TSS102493_+_143747774.23-ENST00000507178	5966	5641	925	9840
common:TSS102493_+_143747806.23-ENST00000507178	7474	7414	1043	10911
common:TSS102493_+_143747835.23-ENST00000507178	3697	3551	482	6865
common:TSS102493_-_143747639.23-ENST00000507178	2368	2886	274	5116
common:TSS102493_-_143747817.23-ENST00000507178	6738	7306	1112	12451
common:TSS102493_-_143747826.23-ENST00000507178	3636	4364	516	6674
common:TSS102493_-_143747852.23-ENST00000507178	3103	3256	626	5540
common:TSS102493_-_143747862.23-ENST00000507178	3022	3224	445	3695
common:TSS102556_+_144363761.23-P1P2	2569	2677	515	4893
common:TSS102556_+_144363774.23-P1P2	2216	2394	255	4713
common:TSS102556_+_144363795.23-P1P2	5779	5709	782	9106
common:TSS102556_-_144363553.23-P1P2	4523	3981	572	5688
common:TSS102556_-_144363568.23-P1P2	4327	4268	667	5546
common:TSS102556_-_144363620.23-P1P2	4288	4227	598	7231
common:TSS102556_-_144363682.23-P1P2	5916	5851	885	10227
common:TSS102556_-_144363800.23-P1P2	2891	2679	373	3850
common:TSS102556_-_144363835.23-P1P2	6753	7860	1051	11728
common:TSS102556_-_144363850.23-P1P2	4026	3773	476	5812
common:TSS102573_+_144723275.23-CUFF.48795.1	4575	4810	606	8140
common:TSS102573_+_144723311.23-CUFF.48795.1	4049	4595	428	3725
common:TSS102573_+_144723393.23-CUFF.48795.1	2204	2580	252	4527
common:TSS102573_+_144723556.23-CUFF.48795.1	976	1153	126	1901
common:TSS102573_+_144723587.23-CUFF.48795.1	1378	1627	164	3448
common:TSS102573_-_144723294.23-CUFF.48795.1	5024	5439	673	8423
common:TSS102573_-_144723305.23-CUFF.48795.1	7316	6746	985	12008
common:TSS102573_-_144723370.23-CUFF.48795.1	7059	6579	1213	11237
common:TSS102573_-_144723444.23-CUFF.48795.1	4487	4206	679	6698
common:TSS102573_-_144723511.23-CUFF.48795.1	6827	7075	770	11333
common:TSS102575_+_144737364.23-CUFF.48800.1	4389	3961	865	5192
common:TSS102575_+_144737558.23-CUFF.48800.1	5386	5982	625	9875
common:TSS102575_+_144737763.23-CUFF.48800.1	3804	4145	509	6529
common:TSS102575_+_144737768.23-CUFF.48800.1	3051	2982	291	4539
common:TSS102575_+_144737773.23-CUFF.48800.1	3672	3734	580	4658
common:TSS102575_-_144737416.23-CUFF.48800.1	4353	4741	737	6626
common:TSS102575_-_144737426.23-CUFF.48800.1	3348	4615	605	8063
common:TSS102575_-_144737572.23-CUFF.48800.1	8436	8368	1162	13911
common:TSS102575_-_144737799.23-CUFF.48800.1	5669	5932	952	10325
common:TSS102575_-_144737804.23-CUFF.48800.1	5557	5741	744	7555
common:TSS102578_+_144777847.23-CUFF.48805.1	555	577	76	1322
common:TSS102578_+_144777853.23-CUFF.48805.1	4974	5172	545	7355
common:TSS102578_+_144777872.23-CUFF.48805.1	5228	5692	621	11257
common:TSS102578_+_144777937.23-CUFF.48805.1	4604	4413	643	8042
common:TSS102578_-_144777842.23-CUFF.48805.1	7842	7391	958	11369
common:TSS102578_-_144777862.23-CUFF.48805.1	4552	4668	587	6263
common:TSS102578_-_144777917.23-CUFF.48805.1	8251	8421	1002	13650
common:TSS102578_-_144777925.23-CUFF.48805.1	5449	5147	846	8687
common:TSS102578_-_144778000.23-CUFF.48805.1	6039	5936	1070	10048
common:TSS102578_-_144778011.23-CUFF.48805.1	5911	5938	907	7337
common:TSS102595_+_145137212.23-CUFF.48828.1	5032	5894	630	9070
common:TSS102595_+_145137254.23-CUFF.48828.1	3658	4591	620	7661
common:TSS102595_+_145137319.23-CUFF.48828.1	2084	3088	233	4635
common:TSS102595_+_145137344.23-CUFF.48828.1	1662	2052	372	2188
common:TSS102595_+_145137419.23-CUFF.48828.1	6373	7198	885	10682
common:TSS102595_-_145137356.23-CUFF.48828.1	2472	2849	394	5017
common:TSS102595_-_145137359.23-CUFF.48828.1	4307	4385	617	6534
common:TSS102595_-_145137372.23-CUFF.48828.1	6626	6796	1001	9691
common:TSS102595_-_145137391.23-CUFF.48828.1	1420	1628	124	2310
common:TSS102595_-_145137409.23-CUFF.48828.1	2174	1706	314	3985
common:TSS102599_+_145538582.23-P1P2	1782	1439	172	3831
common:TSS102599_+_145538593.23-P1P2	4486	4558	842	9457
common:TSS102599_+_145538735.23-P1P2	1524	1680	229	3297
common:TSS102599_+_145538753.23-P1P2	2842	2462	420	4035
common:TSS102599_-_145538447.23-P1P2	4465	4831	807	7030
common:TSS102599_-_145538575.23-P1P2	6232	6269	755	14404
common:TSS102599_-_145538579.23-P1P2	5172	5205	666	11074
common:TSS102599_-_145538719.23-P1P2	2654	2733	411	4311
common:TSS102599_-_145538726.23-P1P2	3592	3827	410	5483
common:TSS102599_-_145538765.23-P1P2	5933	6371	863	12679
common:TSS102622_+_27674.23-ENST00000422679	5230	4384	771	6950
common:TSS102622_+_27689.23-ENST00000422679	1537	1867	242	2487
common:TSS102622_+_27698.23-ENST00000422679	4710	5249	711	8681
common:TSS102622_+_27738.23-ENST00000422679	9582	8956	1763	18070
common:TSS102622_+_27798.23-ENST00000422679	4641	4920	806	7939
common:TSS102622_+_27857.23-ENST00000422679	7066	7288	801	11951
common:TSS102622_+_27926.23-ENST00000422679	6688	7074	816	12436
common:TSS102622_+_27937.23-ENST00000422679	5851	5452	682	7349
common:TSS102622_-_27747.23-ENST00000422679	4101	4268	678	6370
common:TSS102622_-_27817.23-ENST00000422679	5901	6363	906	9786
common:TSS102695_+_3526116.23-P1P2	5387	5579	705	9013
common:TSS102695_+_3526137.23-P1P2	4515	4370	536	6690
common:TSS102695_+_3526176.23-P1P2	3709	3731	474	6924
common:TSS102695_+_3526184.23-P1P2	7869	7749	1048	14164
common:TSS102695_+_3526424.23-P1P2	2542	2633	319	4759
common:TSS102695_-_3526133.23-P1P2	4199	3910	472	7560
common:TSS102695_-_3526145.23-P1P2	3525	3736	542	3775
common:TSS102695_-_3526166.23-P1P2	5697	6026	655	10774
common:TSS102695_-_3526195.23-P1P2	2033	2279	432	4050
common:TSS102695_-_3526322.23-P1P2	2185	2194	271	4104
common:TSS102942_+_19375483.23-ENST00000609982	5258	4771	654	8287
common:TSS102942_+_19375488.23-ENST00000609982	4344	4016	607	6841
common:TSS102942_+_19375510.23-ENST00000609982	4330	3887	722	5386
common:TSS102942_+_19375624.23-ENST00000609982	5401	5379	834	10157
common:TSS102942_+_19375633.23-ENST00000609982	6268	7476	948	13077
common:TSS102942_+_19375636.23-ENST00000609982	5106	5073	641	8709
common:TSS102942_+_19375766.23-ENST00000609982	4961	4553	581	7945
common:TSS102942_-_19375451.23-ENST00000609982	2489	3016	330	6209
common:TSS102942_-_19375479.23-ENST00000609982	9280	8750	1492	15275
common:TSS102942_-_19375856.23-ENST00000609982	7341	8028	1210	11552
common:TSS102943_+_19453345.23-P1P2	7508	7087	1025	11197
common:TSS102943_+_19453381.23-P1P2	2663	2390	364	3252
common:TSS102943_+_19453492.23-P1P2	4856	4317	613	7194
common:TSS102943_+_19453508.23-P1P2	3384	3982	442	6052
common:TSS102943_+_19453557.23-P1P2	6215	6311	1253	12701
common:TSS102943_-_19453298.23-P1P2	9068	8306	1216	15016
common:TSS102943_-_19453354.23-P1P2	2691	2559	292	4464
common:TSS102943_-_19453618.23-P1P2	3657	3731	419	7830
common:TSS102943_-_19453658.23-P1P2	8280	8514	1178	10405
common:TSS102943_-_19453705.23-P1P2	7258	7772	1015	14369
common:TSS103107_+_32551687.23-ENST00000450093	6477	7063	1162	11928
common:TSS103107_+_32551700.23-ENST00000450093	2241	2270	411	5069
common:TSS103107_+_32551704.23-ENST00000450093	5933	5433	874	7396
common:TSS103107_+_32551712.23-ENST00000450093	7779	7217	1376	13283
common:TSS103107_+_32551814.23-ENST00000450093	3400	3310	613	4873
common:TSS103107_-_32551691.23-ENST00000450093	6478	5955	959	13255
