	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00179	CUFF.865.1	0.6262322568730289	-0.32509623037417307	9.0	9.0	CUFF.865.1	0.7963933443021185	-0.3555091012312162	9.0	9.0	CUFF.865.1	0.6528105058750184	-0.31817392073636835	9.0	9.0
LH00185	NLT_00000046	0.05946071350806107	-0.3486400409166724	10.0	10.0	NLT_00000046	0.3039113990131548	-0.265053812397551	10.0	10.0	NLT_00000046	0.06662513072287275	-0.2824494546507957	10.0	10.0
LH00190	P1P2	0.1873341965744446	-0.5367045667885416	10.0	10.0	P1P2	0.6341495831668529	-0.239816720641536	10.0	10.0	P1P2	0.40620864040708193	-0.34727891321866283	10.0	10.0
LH00192	CUFF.925.1	0.8432316053930146	0.0676410801161154	10.0	10.0	CUFF.925.1	0.21117591690784265	0.01765986394164032	10.0	10.0	CUFF.925.1	0.39045196494124124	0.12149321228875687	10.0	10.0
LH00193	ENST00000515055	0.14304973949748997	0.13228764637647575	10.0	10.0	ENST00000515055	0.1311847968416527	0.14348703749674227	10.0	10.0	ENST00000515055	0.042068316500528516	0.19541860130671987	10.0	10.0
LH00194	CUFF.937.1	0.3905636078029735	-0.2684226041339084	10.0	10.0	CUFF.937.1	0.012225375603667016	-0.3035479139839756	10.0	10.0	CUFF.937.1	0.03240605879730482	-0.26687855366442065	10.0	10.0
LH00195	CUFF.955.1	0.4324477043327003	-0.21955899624524788	10.0	10.0	CUFF.955.1	0.9644069323030463	0.039049753788620245	10.0	10.0	CUFF.955.1	0.4422506371685767	-0.020194833576066346	10.0	10.0
LH00196	CUFF.961.1	0.16511638555191066	-0.00349752985430013	10.0	10.0	CUFF.961.1	0.4715056287077237	0.1635091748691169	10.0	10.0	CUFF.961.1	0.9703743613401951	-0.2323071305227636	10.0	10.0
LH00201	CUFF.988.6	0.9296816681037644	-0.061967289171189044	10.0	10.0	CUFF.988.6	0.3803652823524112	0.06815537913308256	10.0	10.0	CUFF.988.6	0.6648072830525167	0.08433169585190697	10.0	10.0
LH00203	CUFF.985.1	0.6812502094522952	0.04910066271711839	10.0	10.0	CUFF.985.1	0.9378119833664719	-0.015077226320608123	10.0	10.0	CUFF.985.1	0.8599159799487371	-0.010847704305098052	10.0	10.0
LH00204	CUFF.992.1	0.9883037088036505	-0.017361312576929216	10.0	10.0	CUFF.992.1	0.125831043194537	0.059764302373154	10.0	10.0	CUFF.992.1	0.497407678984108	0.09732300779056324	10.0	10.0
LH00205	CUFF.1005.1	0.3076623889514519	-0.10333179258647492	10.0	10.0	CUFF.1005.1	0.3816172897170562	-0.08793708033749265	10.0	10.0	CUFF.1005.1	0.17981849656221194	-0.08604541984735702	10.0	10.0
LH00208	CUFF.1016.1	0.8660092391833751	-0.10332264227459624	10.0	10.0	CUFF.1016.1	0.06765693769131254	0.1963759528234603	10.0	10.0	CUFF.1016.1	0.48256578580817566	0.08807862340065477	10.0	10.0
