	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
common:TSS102045_+_125486570.23-P1	3214	2977	2280	1731
common:TSS102045_+_125486734.23-P1	2310	2247	1453	1540
common:TSS102045_+_125486762.23-P1	3034	3233	2031	2215
common:TSS102045_+_125487146.23-P2	1114	1335	783	970
common:TSS102045_+_125487149.23-P2	3130	3344	2143	2679
common:TSS102045_+_125487176.23-P2	1522	1731	927	1027
common:TSS102045_+_125487182.23-P2	700	717	499	587
common:TSS102045_+_125487185.23-P2	1669	1625	1337	1280
common:TSS102045_-_125486575.23-P1	3004	3635	2673	2138
common:TSS102045_-_125486719.23-P1	3082	3159	2162	2054
common:TSS102045_-_125486739.23-P1	3790	3944	3114	2522
common:TSS102045_-_125486799.23-P1	2320	2234	1508	1726
common:TSS102045_-_125486838.23-P1	2390	2545	1758	1457
common:TSS102045_-_125486838.23-P2	2390	2545	1758	1457
common:TSS102045_-_125487047.23-P2	2474	2289	1646	1559
common:TSS102045_-_125487050.23-P2	1741	1808	1800	1288
common:TSS102045_-_125487193.23-P2	1984	1900	1521	1603
common:TSS102045_-_125487232.23-P2	3436	3441	2761	2093
common:TSS102413_+_141539248.23-P1P2	2683	2902	1984	1744
common:TSS102413_+_141539262.23-P1P2	3083	3199	1973	2254
common:TSS102413_+_141539281.23-P1P2	3960	3650	3065	2597
common:TSS102413_+_141539328.23-P1P2	3318	3138	2775	2463
common:TSS102413_-_141538948.23-P1P2	1931	1485	1297	926
common:TSS102413_-_141539040.23-P1P2	2365	2463	1370	2373
common:TSS102413_-_141539115.23-P1P2	2316	2254	1908	1991
common:TSS102413_-_141539234.23-P1P2	3503	3330	2420	2257
common:TSS102413_-_141539259.23-P1P2	3626	3602	2449	2703
common:TSS102413_-_141539325.23-P1P2	2636	2861	2495	1653
common:TSS102493_+_143747623.23-ENST00000507178	2254	2484	1500	1438
common:TSS102493_+_143747695.23-ENST00000507178	2457	2409	1687	1666
common:TSS102493_+_143747774.23-ENST00000507178	3381	3479	2585	2162
common:TSS102493_+_143747806.23-ENST00000507178	4250	4204	3224	3210
common:TSS102493_+_143747835.23-ENST00000507178	2178	2108	1519	1443
common:TSS102493_-_143747639.23-ENST00000507178	1433	1529	935	1357
common:TSS102493_-_143747817.23-ENST00000507178	3803	4090	2935	3216
common:TSS102493_-_143747826.23-ENST00000507178	2197	2446	1439	1918
common:TSS102493_-_143747852.23-ENST00000507178	1809	1769	1294	1487
common:TSS102493_-_143747862.23-ENST00000507178	1757	1939	1265	1285
common:TSS102556_+_144363761.23-P1P2	1468	1508	1101	1169
common:TSS102556_+_144363774.23-P1P2	1390	1394	826	1000
common:TSS102556_+_144363795.23-P1P2	3688	3593	2091	2116
common:TSS102556_-_144363553.23-P1P2	2543	2472	1980	1509
common:TSS102556_-_144363568.23-P1P2	2384	2712	1943	1556
common:TSS102556_-_144363620.23-P1P2	2308	2225	1980	2002
common:TSS102556_-_144363682.23-P1P2	3290	3253	2626	2598
common:TSS102556_-_144363800.23-P1P2	1626	1583	1265	1096
common:TSS102556_-_144363835.23-P1P2	4077	3954	2676	3906
common:TSS102556_-_144363850.23-P1P2	2173	2358	1853	1415
common:TSS102573_+_144723275.23-CUFF.48795.1	2738	2654	1837	2156
common:TSS102573_+_144723311.23-CUFF.48795.1	2343	2699	1706	1896
common:TSS102573_+_144723393.23-CUFF.48795.1	1462	1847	742	733
common:TSS102573_+_144723556.23-CUFF.48795.1	662	776	314	377
common:TSS102573_+_144723587.23-CUFF.48795.1	949	763	429	864
common:TSS102573_-_144723294.23-CUFF.48795.1	2759	2958	2265	2481
