gene,Mann-Whitney p-value,average log2 enrichment of strongest 3 sgRNAs,sgRNAs passing filter,screen score
LH01294,0.540375132,0.198828697,10,0.080859013
LH01295,0.385866851,0.527079412,9,0.331634803
LH01296,0.174890118,0.878285219,10,1.011833289
LH01305,0.81103093,0.569161491,9,0.078766429
LH01309,0.918324565,0.031346712,7,0.001764742
LH01310,0.484139909,-0.671647738,9,0.32191048
LH01311,0.754345977,0.316414148,10,0.058936529
LH01312,0.554986008,-1.337263592,10,0.520260827
LH01313,0.761468383,-0.142361515,9,0.025632847
LH01315,0.810906714,0.487574203,10,0.067524885
LH01319,0.527665022,0.254210974,10,0.107379616
LH01320,0.149220457,-0.485182515,9,0.609843342
LH01321,0.36919178,0.67904312,9,0.447069728
LH01322,0.015164568,2.120121339,9,5.867820996
LH01325,0.062441226,0.844504439,8,1.547611365
LH01327,0.938611077,-0.205221192,5,0.008590609
LH01333,0.774514492,-0.272099209,9,0.045938573
LH01334,0.993331115,-0.037294372,10,0.000164883
LH01335,0.219659389,0.509474579,9,0.510218736
LH01346,0.196579542,1.020360467,10,1.096693071
LH01347,0.730652513,0.162922142,10,0.033781907
LH01348,0.497312181,-0.440393606,9,0.203262749
LH01349,0.061358832,0.302249335,9,0.557384492
LH01350,0.474511763,0.02145811,10,0.010569347
LH01352,0.704884155,0.19569585,10,0.045220099
LH01353,0.397397483,-0.342566467,10,0.208875843
LH01355,0.70876761,0.193574818,10,0.044027264
LH01358,0.576417089,0.136169352,9,0.049567619
LH01360,0.164184393,0.459532005,10,0.548585902
LH01365,0.065803821,0.801436753,2,1.440911547
LH01368,0.776202596,0.325998216,9,0.054569391
LH01370,0.927159699,0.115346509,10,0.005763982
LH01374,0.192269204,-0.997413312,10,1.086640277
LH01375,0.90064058,-0.192273006,10,0.013294764
LH01379,0.67524535,0.693415487,10,0.179911358
LH01381,0.384131849,-0.317934758,10,0.200989086
LH01382,0.808895743,-0.001002706,9,0.000140511
