,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
PPM1F_+_22307083.23-P1P2,642,977,432,977,-0.655843306,-0.3324056,-0.494124453
PPM1F_+_22307162.23-P1P2,2332,4066,2864,5232,0.212162383,0.031346725,0.121754554
PPM1G_+_27607559.23-P2,1211,1720,968,2046,-0.407421234,-0.08200802,-0.244714627
PPM1G_+_27607655.23-P2,322,444,492,596,0.527296306,0.092347054,0.30982168
PPM1G_+_27607660.23-P2,2245,2826,1945,3053,-0.291246611,-0.220939476,-0.256093044
PPM1G_+_27632407.23-P1,436,253,169,25,-1.45160621,-3.671542985,-2.561574598
PPM1G_-_27607619.23-P2,1467,2041,1659,2040,0.093143694,-0.33311263,-0.119984468
PPM1G_-_27607633.23-P2,1009,873,596,921,-0.84384326,-0.255186098,-0.549514679
PPM1G_-_27632090.23-P1,1120,374,121,293,-3.294721101,-0.684543206,-1.989632153
PPM1G_-_27632410.23-P1,307,478,64,190,-2.346396167,-1.6634168,-2.004906483
PPM1G_-_27632417.23-P1,887,606,127,218,-2.888406929,-1.807395259,-2.347901094
PPM1G_-_27632451.23-P1,454,350,2,372,-7.910849809,-0.244457901,-4.077653855
PPM1L_+_160473629.23-P1P2,525,1096,916,1629,0.718728854,0.239333205,0.47903103
PPM1L_+_160473697.23-P1P2,1328,1740,1243,3596,-0.179730172,0.714900115,0.267584971
PPM1L_+_160473761.23-P1P2,1022,1470,810,1485,-0.419702705,-0.317758824,-0.368730765
PPM1L_-_160473396.23-P1P2,344,914,339,730,-0.105424613,-0.656703302,-0.381063957
PPM1L_-_160473832.23-P1P2,529,690,963,719,0.779966754,-0.273010192,0.253478281
PPM1M_+_52279796.23-P1P2,243,344,65,498,-1.986746012,0.201331577,-0.892707218
PPM1M_+_52280168.23-P1P2,1292,2279,1554,3043,0.182079112,0.084687809,0.133383461
PPM1M_+_52280189.23-P1P2,2112,2547,1609,3905,-0.47674683,0.284117988,-0.096314421
PPM1M_+_52280195.23-P1P2,1250,1472,1451,2464,0.130818103,0.410818984,0.270818544
PPM1M_+_52280215.23-P1P2,902,1020,1192,1439,0.317883576,0.16409184,0.240987708
PPME1_+_73882513.23-P1P2,440,607,206,216,-1.179160508,-1.823070804,-1.501115656
PPME1_+_73882581.23-P1P2,277,456,168,89,-0.805726065,-2.689562183,-1.747644124
PPME1_-_73882369.23-P1P2,1421,1504,1162,210,-0.374597807,-3.172748934,-1.773673371
PPME1_-_73882402.23-P1P2,1019,1228,712,231,-0.601506227,-2.742751404,-1.672128815
PPME1_-_73882418.23-P1P2,1459,1690,1219,413,-0.343583079,-2.36521516,-1.354399119
PPP1CA_+_67168772.23-P1,626,569,843,328,0.345068652,-1.127138438,-0.391034893
PPP1CA_+_67168941.23-P1,922,566,207,155,-2.239437304,-2.200939438,-2.220188371
PPP1CA_+_67169098.23-P1,167,419,374,601,1.078888846,0.188009147,0.633448996
PPP1CA_-_67168840.23-P1,833,926,1038,1465,0.233116721,0.329410966,0.281263844
PPP1CA_-_67168891.23-P1,1126,1346,750,1527,-0.670545648,-0.150383948,-0.410464798
PPP1CA_-_67188217.23-P2,1214,1468,877,1882,-0.553420995,0.02600906,-0.263705968
PPP1CA_-_67188220.23-P2,419,795,437,1009,-0.023618286,0.011493809,-0.006062239
PPP1CA_-_67188475.23-P2,1702,1825,1527,2305,-0.240832296,0.004464686,-0.118183805
PPP1CA_-_67188610.23-P2,352,318,226,346,-0.723553978,-0.210660328,-0.467107153
PPP1CA_-_67188663.23-P2,802,846,771,2133,-0.141172698,1.001748797,0.430288049
PPP1CB_+_28974937.23-P1P2,1644,781,237,171,-2.878552656,-2.523731824,-2.70114224
PPP1CB_+_28975362.23-P1P2,939,263,265,89,-1.90943412,-1.895591159,-1.902512639
PPP1CB_+_28975374.23-P1P2,190,57,78,0,-1.368754711,-6.190386595,-3.779570653
PPP1CB_+_28975409.23-P1P2,1677,750,698,537,-1.348885069,-0.814374108,-1.081629588
PPP1CB_-_28975080.23-P1P2,305,281,155,92,-1.060842349,-1.943269964,-1.502056157
PPP1CC_+_111180646.23-P1P2,757,252,138,111,-2.539926355,-1.515269657,-2.027598006
PPP1CC_+_111180675.23-P1P2,1143,1691,1060,1187,-0.19306246,-0.842962325,-0.518012393
PPP1CC_+_111180706.23-P1P2,1035,755,459,929,-1.257366031,-0.033203648,-0.645284839
PPP1CC_+_111180709.23-P1P2,222,319,66,216,-1.834323069,-0.894930712,-1.36462689
PPP1CC_-_111180279.23-P1P2,467,314,473,467,-0.065883688,0.240252391,0.087184351
PPP1R10_+_30584999.23-P1P2,879,649,626,391,-0.57400183,-1.063455471,-0.81872865
PPP1R10_-_30584622.23-P1P2,612,717,394,167,-0.719637345,-2.434530617,-1.577083981
PPP1R10_-_30584626.23-P1P2,950,730,573,189,-0.813693696,-2.28191583,-1.547804763
PPP1R10_-_30584990.23-P1P2,884,646,294,512,-1.672531536,-0.667795955,-1.170163746
PPP1R10_-_30585037.23-P1P2,779,622,268,862,-1.623691649,0.138367689,-0.74266198
PPP1R11_-_30035005.23-P1P2,970,1805,1328,1821,0.368897173,-0.319673515,0.024611829
PPP1R11_-_30035028.23-P1P2,1177,299,20,48,-5.963271832,-2.971444774,-4.467358303
PPP1R11_-_30035364.23-P1P2,918,545,127,184,-2.937966978,-1.898956064,-2.418461521
PPP1R11_-_30035370.23-P1P2,919,792,420,427,-1.213976855,-1.223669961,-1.218823408
PPP1R11_-_30035402.23-P1P2,2333,1690,1474,863,-0.746751104,-1.301996382,-1.024373743
PPP1R12A_+_80328425.23-P1P2,692,912,412,478,-0.832429022,-1.264428806,-1.048428914
PPP1R12A_+_80328722.23-P1P2,531,561,110,301,-2.355509659,-1.230642884,-1.793076271
PPP1R12A_-_80328443.23-P1P2,900,994,263,405,-1.859163523,-1.627729544,-1.743446534
PPP1R12A_-_80328459.23-P1P2,1437,655,352,438,-2.113714049,-0.912969637,-1.513341843
PPP1R12A_-_80328826.23-P1P2,2007,976,385,677,-2.466411587,-0.860130914,-1.663271251
PPP1R12B_+_202317869.23-P1P2,1065,1126,1075,1864,-0.070818092,0.394789432,0.16198567
PPP1R12B_+_202318266.23-P1P2,792,783,610,985,-0.460992509,-0.001294183,-0.231143346
PPP1R12B_-_202317836.23-P1P2,282,751,175,833,-0.772641562,-0.182902012,-0.477771787
PPP1R12B_-_202317839.23-P1P2,1570,1536,1402,1619,-0.247579531,-0.256480831,-0.252030181
PPP1R12B_-_202317905.23-P1P2,1275,1632,1271,2250,-0.088834538,0.130878344,0.021021903
PPP1R12C_+_55628528.23-P1P2,659,863,817,826,0.225756292,-0.395624378,-0.084934043
PPP1R12C_+_55628898.23-P1P2,1014,1400,1412,1398,0.393381115,-0.334468067,0.029456524
PPP1R12C_-_55628495.23-P1P2,442,493,283,394,-0.727545638,-0.655797617,-0.691671628
PPP1R12C_-_55628615.23-P1P2,903,1292,523,1120,-0.872216363,-0.538512938,-0.70536465
PPP1R12C_-_55628753.23-P1P2,1058,1286,1042,1459,-0.106285671,-0.15031636,-0.128301016
PPP1R13B_+_104313706.23-P1P2,474,331,257,352,-0.967420021,-0.243661388,-0.605540705
PPP1R13B_+_104313719.23-P1P2,854,936,1008,1259,0.154886342,0.095292248,0.125089295
PPP1R13B_+_104313722.23-P1P2,465,492,283,805,-0.800729985,0.377924867,-0.211402559
PPP1R13B_+_104313901.23-P1P2,1323,1268,1297,2715,-0.112935904,0.765991852,0.326527974
PPP1R13B_-_104313915.23-P1P2,472,778,675,781,0.431799321,-0.326853207,0.052473057
PPP1R14A_+_38746626.23-P1P2,409,600,321,841,-0.433828867,0.154737699,-0.139545584
PPP1R14A_+_38746636.23-P1P2,1333,1253,1540,1823,0.123952249,0.208522546,0.166237398
PPP1R14A_+_38746782.23-P1P2,1110,1383,849,1174,-0.471024539,-0.568774348,-0.519899444
PPP1R14A_+_38746975.23-P1P2,1189,1315,1386,2245,0.136877221,0.439247045,0.288062133
PPP1R14A_-_38746713.23-P1P2,1451,1841,1183,1706,-0.378898767,-0.44227758,-0.410588174
PPP1R14C_+_150464221.23-P1P2,405,232,321,285,-0.419649932,-0.035568486,-0.227609209
PPP1R14C_+_150464229.23-P1P2,492,689,762,1145,0.546831361,0.40036611,0.473598735
PPP1R14C_+_150464246.23-P1P2,1384,1738,1108,1996,-0.405187383,-0.132721962,-0.268954672
PPP1R14C_+_150464251.23-P1P2,338,560,572,827,0.674690579,0.230054902,0.45237274
PPP1R14C_-_150464642.23-P1P2,1196,2087,852,1531,-0.573593376,-0.779361918,-0.676477647
PPP1R14D_+_41120491.23-P1P2,1294,1507,1505,1756,0.133624548,-0.111792172,0.010916188
PPP1R14D_+_41120873.23-P1P2,1369,1891,1166,2398,-0.31585598,0.010276695,-0.152789642
PPP1R14D_+_41120876.23-P1P2,1039,1324,1048,1635,-0.071858259,-0.028018087,-0.049938173
PPP1R14D_-_41120420.23-P1P2,303,275,398,384,0.309149316,0.149269092,0.229209204
PPP1R14D_-_41120717.23-P1P2,1248,1907,1695,3749,0.357366018,0.642795382,0.5000807
PPP1R15B_-_204380472.23-P1P2,830,1096,722,766,-0.285413821,-0.849237101,-0.567325461
PPP1R15B_-_204380714.23-P1P2,411,237,0,0,-8.770801849,-8.227223364,-8.499012606
PPP1R15B_-_204380747.23-P1P2,1146,491,333,307,-1.867314283,-1.009889969,-1.438602126
PPP1R15B_-_204380902.23-P1P2,899,1003,695,1342,-0.455609459,0.087657465,-0.183975997
PPP1R15B_-_204380908.23-P1P2,371,610,1,44,-8.619576698,-4.125639414,-6.372608056
PPP1R16B_+_37434787.23-P1P2,1963,2273,1870,4655,-0.154323224,0.701777883,0.27372733
PPP1R16B_+_37434797.23-P1P2,695,1227,691,1872,-0.092628589,0.277039586,0.092205498
PPP1R16B_-_37434398.23-P1P2,1510,1457,1520,2816,-0.074778547,0.618240856,0.271731154
PPP1R16B_-_37434404.23-P1P2,931,978,975,1693,-0.01768027,0.459270003,0.220794866
PPP1R16B_-_37434450.23-P1P2,846,1225,895,1258,-0.003071303,-0.294055427,-0.148563365
PPP1R1A_+_54982432.23-P1P2,633,817,580,457,-0.210453921,-1.170547513,-0.690500717
PPP1R1A_+_54982444.23-P1P2,1451,1922,849,2500,-0.857512382,0.046914159,-0.405299112
PPP1R1A_+_54982447.23-P1P2,600,484,327,510,-0.959973187,-0.256915401,-0.608444294
PPP1R1A_-_54982026.23-P1P2,1111,1727,1147,2441,-0.038294747,0.166798612,0.064251933
PPP1R1A_-_54982106.23-P1P2,690,1126,1275,1281,0.801527659,-0.146341952,0.327592853
PPP1R1B_-_37783163.23-P1P2,471,79,69,30,-2.855360114,-1.729295753,-2.292327934
PPP1R1B_-_37783208.23-P1P2,509,306,0,51,-9.078654758,-2.917368101,-5.99801143
PPP1R1B_-_37783231.23-P1P2,810,835,706,1571,-0.282555046,0.579429478,0.148437216
PPP1R1B_-_37783448.23-P1P2,553,298,128,408,-2.195436992,0.120851221,-1.037292885
PPP1R1B_-_37783657.23-P1P2,567,637,613,1468,0.028237017,0.87208109,0.450159054
"PPP1R1C_-_182850503.23-ENST00000409137.3,ENST00000409702.1,ENST00000452904.1",266,361,213,317,-0.404874137,-0.519921597,-0.462397867
"PPP1R1C_-_182850544.23-ENST00000409137.3,ENST00000409702.1,ENST00000452904.1",1674,2248,1041,3133,-0.769630781,0.146497134,-0.311566823
"PPP1R1C_-_182850564.23-ENST00000409137.3,ENST00000409702.1,ENST00000452904.1",1280,1685,972,2038,-0.481416913,-0.05800014,-0.269708526
"PPP1R1C_-_182850616.23-ENST00000409137.3,ENST00000409702.1,ENST00000452904.1",1621,2382,1684,3257,-0.029293274,0.118964706,0.044835716
"PPP1R1C_-_182850788.23-ENST00000409137.3,ENST00000409702.1,ENST00000452904.1",815,1141,923,2189,0.095229267,0.607567563,0.351398415
PPP1R21_+_48668000.23-P1P2,489,577,357,655,-0.538211712,-0.149482012,-0.343846862
PPP1R21_+_48668006.23-P1P2,584,658,443,470,-0.482962992,-0.817832427,-0.65039771
PPP1R21_+_48668289.23-P1P2,224,510,667,637,1.489886708,-0.011609475,0.739138616
PPP1R21_-_48667940.23-P1P2,718,292,345,83,-1.141688804,-2.147190728,-1.644439766
PPP1R21_-_48668149.23-P1P2,415,802,561,1338,0.350588113,0.405998374,0.378293243
PPP1R26_+_138371487.23-P1P2,1461,1171,1101,2065,-0.492443031,0.485995106,-0.003223963
PPP1R26_+_138371563.23-P1P2,168,363,263,157,0.562300245,-1.541610589,-0.489655172
PPP1R26_+_138372038.23-P1P2,1128,1018,1040,1640,-0.201484861,0.355552653,0.077033896
PPP1R26_+_138372066.23-P1P2,731,1231,566,1180,-0.453370675,-0.393449503,-0.423410089
PPP1R26_-_138371647.23-P1P2,1235,1457,967,1940,-0.437224569,0.080650175,-0.178287197
PPP1R2_+_195269711.23-P1P2,534,591,226,95,-1.324818291,-2.969564312,-2.147191301
PPP1R2_+_195269725.23-P1P2,716,476,150,62,-2.339298408,-3.273027053,-2.806162731
PPP1R2_+_195270077.23-P1P2,659,440,567,865,-0.301231052,0.642791009,0.170779979
PPP1R2_+_195270106.23-P1P2,314,0,0,113,-8.38350934,6.500484414,-0.941512463
PPP1R2_-_195270091.23-P1P2,1268,1596,1020,1400,-0.398286915,-0.521439425,-0.45986317
PPP1R32_+_61248653.23-P1P2,902,1582,951,1331,-0.007983414,-0.581644629,-0.294814021
PPP1R32_+_61248658.23-P1P2,599,1119,820,952,0.368766585,-0.565582158,-0.098407786
PPP1R32_+_61248700.23-P1P2,508,942,458,989,-0.23378222,-0.262162139,-0.24797218
PPP1R32_-_61249046.23-P1P2,1796,2221,1719,2541,-0.147519127,-0.138218618,-0.142868872
PPP1R32_-_61249067.23-P1P2,1135,1838,1296,2069,0.107072099,-0.161608722,-0.027268311
PPP1R37_-_45596434.23-P1P2,1257,1089,1611,586,0.273670523,-1.226436985,-0.476383231
PPP1R37_-_45596465.23-P1P2,256,534,668,869,1.299402971,0.370110835,0.834756903
PPP1R37_-_45596468.23-P1P2,376,600,510,959,0.355463264,0.344162714,0.349812989
PPP1R37_-_45596471.23-P1P2,446,488,382,205,-0.307772393,-1.583662838,-0.945717616
PPP1R37_-_45596868.23-P1P2,851,826,940,1283,0.059200303,0.302901883,0.181051093
PPP1R3A_+_113558637.23-P1P2,323,41,139,291,-1.300750604,2.494917738,0.597083567
PPP1R3A_-_113558730.23-P1P2,1199,1996,1600,2312,0.331938925,-0.120375923,0.105781501
PPP1R3A_-_113559044.23-P1P2,1959,2875,1694,3671,-0.293984844,0.020205558,-0.136889643
PPP1R3A_-_113559054.23-P1P2,1469,2346,2345,2904,0.590452205,-0.02456716,0.282942523
PPP1R3A_-_113559097.23-P1P2,1395,1916,1926,2682,0.38104126,0.152806076,0.266923668
PPP1R3B_+_9008097.23-P1P2,468,753,511,1303,0.04251344,0.458709714,0.250611577
PPP1R3B_+_9008111.23-P1P2,464,123,58,46,-3.084301322,-1.75135815,-2.417829736
PPP1R3B_+_9008124.23-P1P2,754,734,840,922,0.071523483,-0.003418913,0.034052285
PPP1R3B_-_9008172.23-P1P2,1274,959,555,1356,-1.283106923,0.167348858,-0.557879032
PPP1R3B_-_9008175.23-P1P2,740,1256,931,1117,0.246954576,-0.501612879,-0.127329152
PPP1R3C_+_93392840.23-P1P2,876,1032,976,1455,0.071648956,0.163170582,0.117409769
PPP1R3C_-_93392737.23-P1P2,1246,1619,858,2189,-0.622555837,0.102763369,-0.259896234
PPP1R3C_-_93392743.23-P1P2,831,1426,880,1599,-0.001646275,-0.167209643,-0.084427959
PPP1R3C_-_93392812.23-P1P2,949,1413,1169,1842,0.216493616,0.050105995,0.133299806
PPP1R3C_-_93392831.23-P1P2,831,1329,525,744,-0.746832376,-1.169372178,-0.958102277
PPP1R3D_+_58515127.23-P1P2,180,163,76,363,-1.328226904,0.822691983,-0.25276746
PPP1R3D_+_58515319.23-P1P2,353,245,292,411,-0.358001136,0.413951044,0.027974954
PPP1R3D_-_58514908.23-P1P2,839,1023,660,1820,-0.430506108,0.498726705,0.034110299
PPP1R3D_-_58514948.23-P1P2,1234,582,309,367,-2.081964973,-0.99764469,-1.539804832
PPP1R3D_-_58515012.23-P1P2,226,335,82,300,-1.546928279,-0.491604195,-1.019266237
PPP1R3E_+_23770357.23-P1,965,1392,1136,1497,0.151060666,-0.22749059,-0.038214962
PPP1R3E_+_23770681.23-P1,357,408,219,569,-0.789294526,0.1474539,-0.320920313
PPP1R3E_+_23770690.23-P1,1653,2428,1662,2741,-0.076467664,-0.157471694,-0.116969679
PPP1R3E_+_23770729.23-P1,908,1529,765,1671,-0.331533871,-0.204282274,-0.267908072
PPP1R3E_+_23771651.23-P2,168,319,273,474,0.616138397,0.238925035,0.427531716
PPP1R3E_+_23771676.23-P2,585,692,1069,746,0.785452002,-0.224002008,0.280724997
PPP1R3E_+_23771980.23-P2,1185,1875,1393,2880,0.149006877,0.286772616,0.217889747
PPP1R3E_+_23772028.23-P2,1235,1701,677,2818,-0.951584624,0.39588287,-0.277850877
PPP1R3E_-_23770725.23-P1,422,589,225,515,-0.991619319,-0.526100802,-0.758860061
PPP1R3E_-_23772007.23-P2,642,867,652,1555,-0.062002654,0.510405082,0.224201214
PPP1R3F_+_49126297.23-P1P2,1193,1567,1038,1849,-0.285088921,-0.093665555,-0.189377238
PPP1R3F_+_49126300.23-P1P2,454,825,384,1277,-0.325887308,0.2978869,-0.014000204
PPP1R3F_+_49126321.23-P1P2,1300,2044,1259,2543,-0.130534662,-0.017269335,-0.073901998
PPP1R3F_+_49126324.23-P1P2,797,1225,663,1136,-0.349872175,-0.441224515,-0.395548345
PPP1R3F_+_49126680.23-P1P2,283,710,562,713,0.905466756,-0.326322548,0.289572104
PPP1R3G_+_5085519.23-P1P2,350,339,349,328,-0.088429207,-0.379995059,-0.234212133
PPP1R3G_+_5085952.23-P1P2,1415,2154,1804,3235,0.266095964,0.254341862,0.260218913
PPP1R3G_-_5085554.23-P1P2,1083,1297,1172,1548,0.029638005,-0.077178608,-0.023770302
PPP1R3G_-_5085557.23-P1P2,1303,1759,1180,2099,-0.227351546,-0.077458916,-0.152405231
PPP1R3G_-_5085734.23-P1P2,1119,1536,1112,2495,-0.09335457,0.367455999,0.137050715
PPP1R42_+_67940724.23-P1P2,1306,1504,1579,3614,0.189554953,0.932386339,0.560970646
PPP1R42_-_67940743.23-P1P2,260,720,345,720,0.323783417,-0.3324056,-0.004311092
PPP1R42_-_67940761.23-P1P2,558,680,690,1256,0.222029918,0.552824212,0.387427065
PPP1R42_-_67940774.23-P1P2,1032,1165,1108,1790,0.018213589,0.287224032,0.152718811
PPP1R42_-_67940800.23-P1P2,2093,3202,3201,4440,0.528649044,0.139180768,0.333914906
PPP1R7_+_242089597.23-P1P2,819,1004,957,889,0.140354151,-0.507909545,-0.183777697
PPP1R7_-_242089015.23-P1P2,384,460,295,722,-0.464692678,0.317959376,-0.073366651
PPP1R7_-_242089036.23-P1P2,1456,2090,1764,2645,0.192538884,0.00735918,0.099949032
PPP1R7_-_242089223.23-P1P2,466,578,897,1154,0.860476709,0.665096226,0.762786467
PPP1R7_-_242089462.23-P1P2,617,1029,454,1397,-0.526879513,0.108683438,-0.209098038
PPP1R8_+_28157356.23-P1P2,1341,1192,1420,761,-0.001719629,-0.979821477,-0.490770553
PPP1R8_+_28157375.23-P1P2,1234,778,504,195,-1.376148077,-2.328701632,-1.852424854
PPP1R8_+_28157378.23-P1P2,1241,948,541,473,-1.282103938,-1.335452476,-1.308778207
PPP1R8_-_28157334.23-P1P2,1792,1480,1906,1245,0.00467616,-0.581857034,-0.288590437
PPP1R8_-_28157368.23-P1P2,1146,903,661,181,-0.878186189,-2.651141891,-1.76466404
PPP1R9A_+_94536952.23-P1P2,685,622,476,1877,-0.609443736,1.261036564,0.325796414
PPP1R9A_+_94536988.23-P1P2,703,878,779,903,0.063797317,-0.291900552,-0.114051617
PPP1R9A_+_94537358.23-P1P2,496,1086,519,945,-0.018906904,-0.533043469,-0.275975186
PPP1R9A_-_94537340.23-P1P2,841,1959,1168,2604,0.389561247,0.078206451,0.233883849
PPP1R9A_-_94537377.23-P1P2,995,1434,800,1751,-0.398997847,-0.044271541,-0.221634694
PPP1R9B_+_48228075.23-P1P2,983,1824,1090,2224,0.064763492,-0.046354542,0.009204475
PPP1R9B_+_48228450.23-P1P2,988,1120,1078,2057,0.04147291,0.544637461,0.293055185
PPP1R9B_+_48228468.23-P1P2,135,276,110,224,-0.379757205,-0.633575135,-0.50666617
PPP1R9B_-_48228086.23-P1P2,158,197,145,388,-0.20817298,0.645455422,0.218641221
PPP1R9B_-_48228464.23-P1P2,543,840,504,803,-0.191829786,-0.39739494,-0.294612363
PPP2CA_+_133561693.23-P1P2,2576,873,721,462,-1.92136275,-1.250494402,-1.585928576
PPP2CA_+_133561724.23-P1P2,843,340,165,199,-2.437367928,-1.105171916,-1.771269922
PPP2CA_+_133561727.23-P1P2,841,593,598,272,-0.576261638,-1.456831054,-1.016546346
PPP2CA_+_133561730.23-P1P2,7,0,18,158,,6.980477355,
PPP2CA_-_133561768.23-P1P2,436,432,473,611,0.033210727,0.167735467,0.100473097
PPP2CB_+_30670275.23-P1P2,853,725,688,1104,-0.394438498,0.274281672,-0.060078413
PPP2CB_+_30670289.23-P1P2,1272,1393,950,2185,-0.505400574,0.317032422,-0.094184076
PPP2CB_+_30670300.23-P1P2,1176,1408,1625,1825,0.382250336,0.04184353,0.212046933
PPP2CB_-_30670087.23-P1P2,2627,3402,1808,3879,-0.623322844,-0.143103965,-0.383213405
PPP2CB_-_30670303.23-P1P2,1393,2524,947,1903,-0.641060249,-0.739841949,-0.690451099
PPP2R1A_+_52693317.23-P1,1186,998,458,406,-1.456985828,-1.629965688,-1.543475758
PPP2R1A_+_52693758.23-P1,764,544,927,457,0.194695379,-0.583818086,-0.194561354
PPP2R1A_+_52716072.23-P2,904,940,1048,1149,0.128942718,-0.042759464,0.043091627
PPP2R1A_+_52716105.23-P2,673,961,594,790,-0.264444895,-0.615089378,-0.439767137
PPP2R1A_+_52716196.23-P2,139,219,70,262,-1.073959377,-0.073769658,-0.573864518
PPP2R1A_+_52716201.23-P2,1129,1284,1142,1913,-0.067784157,0.242786071,0.087500957
PPP2R1A_-_52693331.23-P1,996,870,727,230,-0.5384917,-2.25178714,-1.39513942
PPP2R1A_-_52693336.23-P1,1158,1553,1048,416,-0.228297858,-2.232807997,-1.230552927
PPP2R1A_-_52693475.23-P1,1037,1223,453,490,-1.27913426,-1.65197635,-1.465555305
PPP2R1A_-_52716005.23-P2,467,574,279,1092,-0.827458749,0.595444614,-0.116007068
PPP2R1B_+_111637056.23-P1P2,471,999,731,632,0.549843025,-0.99296572,-0.221561348
PPP2R1B_+_111637061.23-P1P2,239,541,320,297,0.336759965,-1.197571263,-0.430405649
PPP2R1B_+_111637401.23-P1P2,576,1065,593,939,-0.042338028,-0.514061968,-0.278199998
PPP2R1B_-_111636677.23-P1P2,1214,1591,1295,2344,0.008882355,0.226633134,0.117757744
PPP2R1B_-_111636732.23-P1P2,406,392,375,918,-0.198890453,0.895234899,0.348172223
PPP2R2A_+_26149078.23-P1P2,734,1033,670,210,-0.215920289,-2.630784621,-1.423352455
PPP2R2A_-_26149133.23-P1P2,356,106,306,47,-0.30264691,-1.505737203,-0.904192056
PPP2R2A_-_26149443.23-P1P2,631,1169,513,523,-0.382982501,-1.492797679,-0.93789009
PPP2R2A_-_26149483.23-P1P2,761,425,410,543,-0.976573866,0.021083757,-0.477745055
PPP2R2A_-_26149523.23-P1P2,202,201,287,292,0.422394122,0.206367267,0.314380695
PPP2R2B_+_146257913.23-P1,588,321,405,34,-0.622195569,-3.571372246,-2.096783907
PPP2R2B_+_146257919.23-P1,1640,1879,1392,3460,-0.320837925,0.548401371,0.113781723
PPP2R2B_+_146257929.23-P1,302,494,472,547,0.559936989,-0.185375809,0.18728059
PPP2R2B_+_146258018.23-P1,1435,1627,1162,1754,-0.38874199,-0.223971104,-0.306356547
PPP2R2B_+_146460845.23-P2,722,1071,686,1170,-0.158091582,-0.204855551,-0.181473566
PPP2R2B_+_146460856.23-P2,679,978,772,563,0.100887951,-1.129105143,-0.514108596
PPP2R2B_+_146460883.23-P2,1683,1661,1290,2274,-0.467965433,0.120774581,-0.173595426
PPP2R2B_+_146460914.23-P2,731,1167,1110,1307,0.518315044,-0.16895102,0.174682012
PPP2R2B_-_146258221.23-P1,525,116,103,327,-2.433974407,1.16276023,-0.635607088
PPP2R2B_-_146460864.23-P2,770,876,1088,1150,0.414446884,0.060225486,0.237336185
PPP2R2C_+_6474257.23-P1P2,988,1419,914,1662,-0.196618198,-0.104359808,-0.150489003
PPP2R2C_+_6474314.23-P1P2,1213,2085,1114,2782,-0.207131639,0.083669436,-0.061731102
PPP2R2C_-_6473914.23-P1P2,1059,2081,902,1810,-0.315804572,-0.533692868,-0.42474872
PPP2R2C_-_6474061.23-P1P2,1175,1530,955,2591,-0.38338944,0.427571762,0.022091161
PPP2R2C_-_6474098.23-P1P2,541,940,747,909,0.381178327,-0.380786063,0.000196132
PPP2R2D_+_133753983.23-P1P2,1048,1298,1171,1948,0.075801037,0.253297694,0.164549366
PPP2R2D_+_133754000.23-P1P2,1306,2006,2056,2563,0.570384046,0.021106272,0.295745159
PPP2R2D_-_133753721.23-P1P2,2381,2968,2135,4094,-0.241632872,0.13161441,-0.055009231
PPP2R2D_-_133753830.23-P1P2,677,728,740,1156,0.044068115,0.334725442,0.189396779
PPP2R2D_-_133753844.23-P1P2,1188,1281,1341,1995,0.09047308,0.30671267,0.198592875
PPP2R3A_+_135684595.23-P1P2,995,1410,1720,2549,0.705338813,0.52183061,0.613584712
PPP2R3A_+_135684607.23-P1P2,112,162,81,390,-0.551806241,0.935074711,0.191634235
PPP2R3A_+_135684621.23-P1P2,1370,2637,1807,2752,0.315119291,-0.270822701,0.022148295
PPP2R3A_+_135684961.23-P1P2,609,710,552,800,-0.226075283,-0.160224625,-0.193149954
PPP2R3A_-_135684695.23-P1P2,874,948,1024,1232,0.144209209,0.045637692,0.09492345
PPP2R3B_-_347315.23-P1P2,99,131,198,241,0.915698678,0.547060734,0.731379706
PPP2R3B_-_347634.23-P1P2,406,867,267,729,-0.688941307,-0.582518779,-0.635730043
PPP2R3B_-_347649.23-P1P2,699,903,716,1137,-0.04963419,2.88E-05,-0.024802714
PPP2R3B_-_347675.23-P1P2,1049,1079,628,1285,-0.824479535,-0.080332106,-0.45240582
PPP2R3B_-_347890.23-P1P2,2146,1871,1518,681,-0.583779607,-1.790488456,-1.187134031
PPP2R4_+_131873661.23-P1P2,503,291,134,119,-1.992626721,-1.62246318,-1.80754495
PPP2R4_-_131873702.23-P1P2,1728,2248,2150,1864,0.230932121,-0.602645776,-0.185856828
PPP2R4_-_131873861.23-P1P2,1632,1365,2019,671,0.222698532,-1.35692188,-0.567111674
PPP2R4_-_131874120.23-P1P2,55,0,0,13,-5.891656244,,
PPP2R4_-_131874178.23-P1P2,1074,1201,1026,1189,-0.150264584,-0.346893036,-0.24857881
PPP2R5A_+_212458795.23-P1P2,1035,1258,1599,2310,0.54323785,0.544355329,0.543796589
PPP2R5A_+_212459031.23-P1P2,512,538,457,608,-0.248250966,-0.155940449,-0.202095708
PPP2R5A_+_212459206.23-P1P2,202,496,196,239,-0.12780296,-1.385735103,-0.756769031
PPP2R5A_-_212458812.23-P1P2,54,393,108,272,0.915698678,-0.863328261,0.026185209
PPP2R5A_-_212458999.23-P1P2,1565,1282,1500,821,-0.145501478,-0.975347735,-0.560424607
