,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
ACACB_-_109569639.23-P1,591,1233,770,1595,0.297398994,0.038978024,0.168188509
ACACB_-_109592496.23-P2,359,424,541,839,0.507343428,0.652200946,0.579772187
ACACB_-_109592519.23-P2,1212,1593,990,1484,-0.37619059,-0.434660775,-0.405425683
ACAD8_+_134123511.23-P1P2,728,707,495,746,-0.640811247,-0.254940185,-0.447875716
ACAD8_-_134123448.23-P1P2,893,1439,1071,1191,0.177925078,-0.605298779,-0.213686851
ACAD8_-_134123455.23-P1P2,579,726,930,750,0.599366046,-0.285484553,0.156940747
ACAD8_-_134123502.23-P1P2,814,911,566,1365,-0.608528063,0.250972392,-0.178777836
ACAD8_-_134123507.23-P1P2,677,686,762,1019,0.086333842,0.23846797,0.162400906
ACADSB_+_124768874.23-P1P2,1496,1962,1497,2718,-0.083337275,0.137814814,0.027238769
ACADSB_+_124768891.23-P1P2,1147,1836,788,1684,-0.625899178,-0.457079521,-0.541489349
ACADSB_+_124768941.23-P1P2,1012,1021,401,945,-1.41983647,-0.444002232,-0.931919351
ACADSB_+_124768944.23-P1P2,2836,3638,2648,4582,-0.183255732,0.000426315,-0.091414708
ACADSB_-_124768552.23-P1P2,1616,964,1268,1014,-0.434173774,-0.259453,-0.346813387
ACADS_+_121163685.23-P1P2,966,695,721,1519,-0.506325251,0.795631387,0.144653068
ACADS_+_121164090.23-P1P2,414,468,231,223,-0.926039238,-1.40187042,-1.163954829
ACADS_-_121163653.23-P1P2,332,326,609,668,0.790957665,0.702570538,0.746764101
ACADS_-_121163657.23-P1P2,715,1188,996,1357,0.393901179,-0.140519716,0.126690732
ACADS_-_121163671.23-P1P2,897,1956,1031,2609,0.116563121,0.083184974,0.099874047
ACAN_+_89347139.23-P1P2,115,15,20,569,-2.607863278,4.912988646,1.152562684
ACAN_+_89347148.23-P1P2,46,198,37,229,,-0.122558432,
ACAN_+_89347151.23-P1P2,52,214,93,308,0.754417771,0.192913954,0.473665863
ACAN_-_89346701.23-P1P2,139,249,100,319,-0.559386204,0.025005081,-0.267190562
ACAN_-_89347101.23-P1P2,1099,931,905,1002,-0.364503011,-0.226376165,-0.295439588
ACAT1_+_107992288.23-P1P2,114,212,27,52,-2.162303834,-2.359886337,-2.261095085
ACAT1_+_107992310.23-P1P2,571,775,868,1450,0.519902976,0.571379084,0.54564103
ACAT1_+_107992321.23-P1P2,1002,1489,969,1736,-0.132615259,-0.110982406,-0.121798833
ACAT1_-_107992364.23-P1P2,1497,1739,1889,3243,0.251247159,0.566665491,0.408956325
ACAT1_-_107992733.23-P1P2,687,1313,685,1665,-0.088507433,0.010249661,-0.039128886
ACAT2_+_160183436.23-P1P2,135,291,25,159,-2.517260729,-1.204397988,-1.860829358
